lead_time,adults,children,average_daily_rate,total_of_special_requests,stays_in_weekend_nights,stays_in_week_nights,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,required_car_parking_spaces
40,2,0.0,127.03,2,2,5,0,0,0,0,0
60,2,0.0,167.0,0,2,6,0,0,0,0,0
59,2,0.0,145.0,0,2,1,0,0,0,0,0
37,2,0.0,154.0,0,2,2,0,0,0,0,0
38,1,0.0,110.53,0,2,4,0,0,0,0,0
62,2,0.0,158.5,1,2,5,0,0,0,0,0
60,2,0.0,117.71,0,2,5,0,0,0,0,0
62,2,0.0,158.5,1,2,5,0,0,0,0,0
31,2,0.0,154.0,0,2,5,0,0,0,0,0
24,2,2.0,214.0,0,2,4,0,0,0,0,0
104,2,0.0,115.0,2,2,4,0,0,0,0,0
47,2,2.0,195.0,0,3,5,0,0,0,0,0
118,2,2.0,179.1,2,1,2,0,0,0,0,0
41,2,0.0,135.0,1,1,3,0,0,0,0,0
41,2,0.0,135.0,1,1,3,0,0,0,0,0
60,2,2.0,195.0,0,1,4,0,0,0,0,0
69,2,0.0,135.0,0,1,4,0,0,0,0,0
41,2,2.0,214.0,1,1,5,0,0,0,0,0
41,2,0.0,141.33,1,1,5,0,0,1,0,0
28,2,1.0,240.64,0,2,5,0,0,0,0,0
86,2,1.0,172.93,1,2,5,0,0,1,0,0
118,2,0.0,179.1,1,2,5,0,0,0,0,0
52,2,0.0,92.0,0,3,6,0,0,0,0,0
49,2,0.0,111.2,0,3,6,0,0,0,0,0
7,2,0.0,200.0,0,3,8,0,0,0,0,0
7,2,0.0,200.0,0,3,8,0,0,0,0,0
42,2,0.0,157.0,0,0,2,0,0,0,0,0
81,2,0.0,115.0,2,0,3,0,0,0,0,0
63,2,2.0,195.0,0,0,4,0,0,0,0,0
96,2,0.0,119.75,1,0,4,0,0,0,0,0
44,2,0.0,135.0,1,0,4,0,0,0,0,0
44,2,2.0,195.0,1,0,4,0,0,0,0,0
44,2,0.0,135.0,1,0,4,0,0,0,0,0
41,2,0.0,178.4,0,1,4,0,0,0,0,0
55,1,0.0,112.0,0,0,1,0,0,0,0,0
19,2,0.0,153.0,0,0,3,0,0,0,0,0
55,2,0.0,135.0,0,0,3,0,0,0,0,0
19,2,2.0,210.0,0,1,3,0,0,0,0,0
19,2,0.0,139.0,0,1,3,0,0,0,0,0
72,2,0.0,145.0,0,2,4,0,0,0,0,0
19,2,0.0,173.0,0,1,3,0,0,0,0,0
36,2,0.0,112.5,0,0,1,0,0,0,0,0
22,2,2.0,233.0,2,0,2,0,0,0,0,0
67,2,0.0,135.0,1,0,2,0,0,0,0,0
105,2,0.0,132.5,0,0,2,0,0,0,0,0
67,2,0.0,135.0,1,0,2,0,0,0,0,0
45,2,0.0,127.0,0,1,2,0,0,0,0,0
45,2,0.0,135.0,0,2,2,0,0,0,0,0
53,2,0.0,161.25,0,2,2,0,0,0,0,0
43,2,0.0,159.2,1,2,5,0,0,0,0,0
109,2,0.0,163.29,2,2,5,0,0,0,0,0
62,2,2.0,210.0,0,2,6,0,0,0,0,0
42,2,0.0,107.0,0,3,7,0,0,0,0,0
312,3,0.0,121.98,1,4,10,0,0,0,0,0
39,2,0.0,120.6,0,0,1,0,0,0,0,0
12,2,0.0,153.0,2,1,1,0,0,0,0,0
16,2,0.0,153.0,1,1,1,0,0,0,0,0
16,2,0.0,134.0,0,1,1,0,0,0,0,0
54,2,0.0,134.0,0,2,3,0,0,0,0,0
87,2,0.0,134.0,3,2,4,0,0,0,0,0
29,2,0.0,120.6,1,2,5,0,0,1,0,0
96,2,0.0,166.0,1,2,5,0,0,0,0,0
100,2,0.0,134.0,0,2,5,0,0,0,0,0
25,1,0.0,131.63,0,2,6,0,0,0,0,0
31,2,0.0,120.6,1,3,6,0,0,0,0,0
107,1,0.0,125.0,2,3,6,0,0,0,0,0
31,2,0.0,154.0,1,3,6,0,0,0,0,0
85,2,0.0,107.0,0,4,10,0,0,0,0,0
299,2,1.0,149.0,1,2,5,0,0,0,0,0
50,2,0.0,164.0,0,2,5,0,0,0,0,0
88,2,0.0,154.0,1,2,2,0,0,0,0,0
116,2,0.0,120.6,1,2,3,0,0,0,0,0
54,2,1.0,95.02,2,2,4,0,0,0,0,0
33,2,0.0,132.5,0,2,4,0,0,0,0,0
54,2,1.0,95.02,2,2,4,0,0,0,0,0
33,2,0.0,132.5,0,2,4,0,0,0,0,0
39,2,0.0,133.0,1,3,5,0,0,0,0,0
39,2,0.0,133.0,1,3,5,0,0,0,0,0
48,2,2.0,210.0,1,1,1,0,0,0,0,0
48,2,2.0,195.0,1,1,1,0,0,0,0,0
48,1,0.0,124.2,1,1,1,0,0,1,0,0
48,2,0.0,167.0,1,1,1,0,0,0,0,0
41,2,0.0,120.6,0,1,3,0,0,0,0,0
74,2,0.0,107.0,1,1,3,0,0,0,0,0
87,2,0.0,134.0,2,1,3,0,0,0,0,0
41,2,0.0,164.0,0,1,3,0,0,0,0,0
33,2,0.0,134.0,0,1,4,0,0,0,0,0
34,2,0.0,164.0,0,1,4,0,0,0,0,0
298,3,0.0,183.45,1,1,5,0,0,0,0,0
101,2,0.0,164.0,2,2,5,0,0,0,0,0
101,2,0.0,219.43,2,2,5,0,0,0,0,0
101,2,0.0,134.0,2,2,5,0,0,0,0,0
101,2,0.0,164.0,2,2,5,0,0,0,0,0
63,2,2.0,195.0,0,0,3,0,0,0,0,0
11,2,0.0,173.0,0,0,3,0,0,0,0,0
29,2,0.0,154.0,2,0,5,0,0,0,0,0
70,2,0.0,115.5,0,2,6,0,0,0,0,0
119,2,0.0,108.54,1,0,4,0,0,0,0,0
29,2,0.0,165.4,1,1,4,0,0,0,0,0
37,2,0.0,133.0,1,1,4,0,0,0,0,0
40,3,0.0,240.0,0,1,4,0,0,0,0,0
37,2,0.0,133.0,1,1,4,0,0,0,0,0
71,2,0.0,134.0,0,1,4,0,0,0,0,0
118,2,0.0,186.0,2,1,4,0,0,1,0,0
54,2,0.0,141.65,0,2,5,0,0,0,0,0
58,2,0.0,99.24,0,2,5,0,0,0,0,0
105,2,0.0,90.95,0,2,5,0,0,0,0,0
47,2,0.0,148.63,1,2,6,0,0,0,0,0
15,2,0.0,173.0,3,0,1,0,0,1,0,0
0,1,0.0,114.0,0,0,1,0,0,0,0,0
8,2,0.0,153.0,1,0,1,0,0,0,0,0
30,2,0.0,146.67,2,0,3,0,0,0,0,0
31,2,0.0,154.0,2,0,3,0,0,0,0,0
66,2,0.0,120.6,0,0,3,0,0,0,0,0
30,2,0.0,146.67,2,0,3,0,0,0,0,0
31,2,0.0,154.0,2,0,3,0,0,0,0,0
62,2,0.0,154.5,0,1,3,0,0,0,0,0
65,2,0.0,120.6,0,1,3,0,0,0,0,0
64,2,0.0,137.8,0,2,3,0,0,1,0,0
62,2,0.0,126.71,0,2,5,0,0,0,0,0
25,2,0.0,153.0,2,0,1,0,0,0,0,0
16,2,0.0,173.0,3,0,1,0,0,0,0,0
16,2,0.0,173.0,3,0,1,0,0,0,0,0
4,2,0.0,154.8,3,0,2,0,0,0,0,0
25,2,0.0,153.0,0,0,2,0,0,0,0,0
83,2,0.0,120.6,1,0,2,0,0,0,0,0
56,2,0.0,120.6,0,0,2,0,0,0,0,0
32,2,0.0,164.0,2,0,2,0,0,0,0,0
18,2,0.0,149.7,1,1,2,0,0,0,0,0
23,2,0.0,111.92,0,1,2,0,0,0,0,0
39,2,0.0,120.6,1,1,2,0,0,0,0,0
18,2,0.0,149.7,1,1,2,0,0,0,0,0
18,2,0.0,173.0,3,1,2,0,0,0,0,0
23,2,0.0,112.0,1,1,2,0,0,0,0,0
136,2,0.0,172.0,0,2,2,0,0,0,0,0
84,2,0.0,118.06,0,2,1,0,0,0,0,0
84,2,0.0,118.06,0,2,1,0,0,0,0,0
89,2,0.0,154.0,0,0,1,0,0,0,0,0
10,2,0.0,202.0,0,0,1,0,0,0,0,0
80,2,0.0,134.0,2,0,1,0,0,1,0,0
10,2,0.0,202.0,0,0,1,0,0,0,0,0
10,2,0.0,252.0,0,0,1,0,0,1,0,0
24,2,2.0,233.0,1,0,1,0,0,1,0,0
9,2,0.0,211.0,2,0,1,0,0,1,0,0
3,2,2.0,237.0,1,2,3,0,0,1,0,0
124,2,0.0,120.6,1,2,4,0,0,0,0,0
74,2,2.0,177.14,0,2,5,0,0,0,0,0
82,2,2.0,222.14,0,2,5,0,0,0,0,0
91,2,0.0,127.82,2,2,5,0,0,1,0,0
77,2,0.0,194.14,0,2,5,0,0,0,0,0
130,2,0.0,120.6,2,2,5,0,0,0,0,0
91,2,1.0,144.53,3,2,5,0,0,1,0,0
130,2,0.0,96.3,0,2,6,0,0,0,0,0
53,2,0.0,210.78,0,3,6,0,0,0,0,0
80,2,2.0,169.0,1,4,6,0,0,0,0,0
77,2,1.0,174.7,3,4,6,0,0,0,0,0
57,2,2.0,135.53,0,4,10,0,0,1,0,0
25,2,0.0,144.0,2,1,0,0,0,0,0,0
2,2,0.0,162.5,1,2,0,0,0,0,0,0
36,2,0.0,209.6,2,2,3,0,0,0,0,0
36,2,0.0,209.6,2,2,3,0,0,0,0,0
327,2,0.0,104.55,0,4,10,0,0,0,0,0
47,2,0.0,205.0,0,1,1,0,0,0,0,0
81,2,0.0,123.0,0,1,3,0,0,0,0,0
52,2,0.0,173.0,0,1,4,0,0,0,0,0
13,2,2.0,220.55,0,1,4,0,0,1,0,0
131,2,0.0,119.7,1,2,5,0,0,1,0,0
82,2,0.0,120.6,0,2,5,0,0,0,0,0
61,2,0.0,153.0,0,2,5,0,0,0,0,0
36,1,0.0,221.0,0,0,3,0,0,0,0,0
61,2,0.0,153.0,0,0,3,0,0,0,0,0
15,2,0.0,211.0,1,0,4,0,0,0,0,0
13,2,0.0,211.0,1,1,5,0,0,0,0,0
0,2,0.0,172.0,1,0,1,0,0,0,0,0
114,2,0.0,149.4,0,0,3,0,0,0,0,0
111,2,0.0,154.0,1,0,4,0,0,1,0,0
57,2,0.0,183.0,0,1,4,0,0,0,0,0
16,2,0.0,242.6,1,1,4,0,0,0,0,0
117,2,0.0,166.0,0,2,6,0,0,0,0,0
69,1,0.0,112.0,0,0,1,0,0,1,0,0
118,2,0.0,120.6,0,0,3,0,0,0,0,0
28,3,0.0,239.3,1,1,3,0,0,0,0,0
49,2,2.0,267.0,0,0,2,0,0,0,0,0
45,2,0.0,173.0,0,0,2,0,0,0,0,0
53,2,0.0,173.0,0,1,2,0,0,0,0,0
4,2,2.0,277.5,2,2,2,0,0,1,0,0
46,2,0.0,153.0,0,2,2,0,0,0,0,0
122,2,0.0,186.0,1,2,2,0,0,0,0,0
43,2,0.0,202.0,0,2,4,0,0,0,0,0
73,2,2.0,169.0,0,2,5,0,0,0,0,0
113,2,0.0,154.38,1,2,5,0,0,0,0,0
113,2,0.0,154.38,1,2,5,0,0,0,0,0
87,2,0.0,164.0,1,0,1,0,0,0,0,0
106,2,0.0,134.0,1,1,1,0,0,0,0,0
78,2,2.0,181.0,0,1,1,0,0,0,0,0
137,2,0.0,108.54,1,2,2,0,0,0,0,0
67,2,0.0,186.0,0,2,4,0,0,0,0,0
54,2,0.0,205.0,1,2,5,0,0,0,0,0
87,2,0.0,154.0,1,2,5,0,0,0,0,0
54,2,0.0,200.71,0,2,5,0,0,0,0,0
60,2,2.0,135.2,0,2,5,0,0,0,0,0
54,2,0.0,228.0,0,2,5,0,0,0,0,0
54,2,0.0,205.0,1,2,5,0,0,0,0,0
84,2,0.0,134.0,2,2,5,0,0,0,0,0
106,2,0.0,119.7,1,2,5,0,0,0,0,0
91,2,0.0,134.0,1,2,5,0,0,0,0,0
58,1,0.0,173.0,0,2,6,0,0,1,0,0
9,2,1.0,207.0,2,2,0,0,0,0,0,0
10,2,0.0,211.5,1,2,0,0,0,0,0,0
65,2,0.0,145.4,0,2,3,0,0,0,0,0
129,1,0.0,101.25,0,2,3,0,0,0,0,0
122,2,0.0,166.0,2,2,4,0,0,0,0,0
41,2,0.0,202.0,2,2,4,0,0,0,0,0
41,2,0.0,172.0,2,2,4,0,0,0,0,0
68,2,2.0,214.0,0,2,5,0,0,0,0,0
72,2,0.0,154.0,0,2,5,0,0,0,0,0
127,2,0.0,133.0,1,4,10,0,0,0,0,0
127,1,0.0,120.0,1,4,10,0,0,1,0,0
47,2,0.0,192.0,1,1,2,0,0,0,0,0
72,2,0.0,120.6,0,1,1,0,0,0,0,0
139,2,0.0,147.6,1,1,4,0,0,0,0,0
63,2,0.0,205.0,0,1,4,0,0,0,0,0
75,2,0.0,107.2,0,1,5,0,0,0,0,0
63,2,1.0,200.0,1,1,5,0,0,0,0,0
77,2,0.0,134.0,0,1,5,0,0,0,0,0
95,4,0.0,190.0,0,2,5,0,0,0,0,0
101,2,0.0,196.0,2,2,5,0,0,0,0,0
38,2,0.0,185.57,2,2,5,0,0,0,0,0
60,2,0.0,175.0,1,3,5,0,0,0,0,0
60,2,0.0,175.0,1,3,5,0,0,0,0,0
87,2,0.0,134.0,0,0,2,0,0,1,0,0
31,2,0.0,211.0,2,0,2,0,0,0,0,0
74,2,0.0,134.0,1,0,2,0,0,1,0,0
120,2,0.0,120.6,1,0,3,0,0,0,0,0
120,2,0.0,120.6,1,0,3,0,0,0,0,0
120,1,0.0,112.5,1,0,3,0,0,0,0,0
116,2,0.0,164.0,0,0,4,0,0,0,0,0
83,2,0.0,120.6,0,0,4,0,0,0,0,0
27,1,1.0,207.0,2,0,4,0,0,0,0,0
78,2,0.0,214.0,0,0,5,0,0,0,0,0
117,2,0.0,186.0,1,0,5,0,0,0,0,0
85,3,0.0,162.3,3,0,5,0,0,0,0,0
117,2,0.0,186.0,1,0,5,0,0,0,0,0
22,2,0.0,241.0,0,1,5,0,0,0,0,0
34,2,0.0,274.93,2,2,5,0,0,0,0,0
69,2,0.0,156.73,0,2,5,0,0,0,0,0
85,2,0.0,134.0,2,0,5,0,0,1,0,0
102,2,0.0,134.0,1,0,5,0,0,0,0,0
102,2,0.0,196.0,2,2,10,0,0,0,0,0
80,2,0.0,98.02,0,2,5,0,0,0,0,0
85,2,0.0,120.6,0,2,5,0,0,0,0,0
33,1,0.0,191.0,0,0,1,0,0,0,0,0
1,2,0.0,191.0,2,0,1,0,0,0,0,0
2,2,0.0,258.33,1,0,3,0,0,0,0,0
22,2,0.0,211.0,3,0,4,0,0,1,0,0
22,2,0.0,211.0,3,0,4,0,0,1,0,0
55,2,0.0,133.21,0,2,5,0,0,0,0,0
68,2,0.0,173.5,0,2,6,0,0,0,0,0
128,1,0.0,90.95,1,2,8,0,0,0,0,0
85,2,0.0,120.6,0,4,10,0,0,0,0,0
9,2,0.0,184.45,0,0,1,0,0,0,0,0
120,2,0.0,120.6,0,0,2,0,0,0,0,0
72,2,0.0,114.14,1,0,3,0,0,0,0,0
8,2,0.0,178.33,2,0,3,0,0,0,0,0
8,2,0.0,178.33,2,0,3,0,0,0,0,0
15,2,0.0,211.0,0,2,3,0,0,0,0,0
23,2,0.0,187.2,2,2,3,0,0,0,0,0
23,1,0.0,178.2,2,2,3,0,0,0,0,0
89,2,0.0,107.2,2,2,5,0,0,0,0,0
34,2,2.0,271.0,0,0,2,0,0,1,0,0
51,2,0.0,232.0,1,0,2,0,0,0,0,0
84,2,0.0,133.0,0,2,2,0,0,0,0,0
63,2,0.0,195.5,0,2,2,0,0,0,0,0
91,2,0.0,209.0,0,2,2,0,0,0,0,0
64,3,0.0,229.0,1,2,5,0,0,0,0,0
22,2,0.0,266.0,0,2,5,0,0,0,0,0
22,2,2.0,262.0,2,2,5,0,0,1,0,0
11,2,0.0,158.4,2,2,3,0,0,0,0,0
80,2,0.0,208.0,3,2,3,0,0,1,0,0
80,3,0.0,183.45,1,2,3,0,0,0,0,0
80,2,0.0,133.0,1,2,3,0,0,0,0,0
80,2,0.0,133.0,1,2,3,0,0,0,0,0
77,3,0.0,209.2,0,2,4,0,0,0,0,0
68,2,0.0,135.0,0,2,5,0,0,0,0,0
72,2,0.0,149.0,0,2,5,0,0,0,0,0
71,2,0.0,135.0,0,2,5,0,0,0,0,0
65,2,0.0,135.0,0,2,5,0,0,0,0,0
98,2,0.0,132.6,1,2,5,0,0,0,0,0
67,2,0.0,198.71,0,2,5,0,0,1,0,0
54,3,1.0,218.0,0,2,5,0,0,0,0,0
78,2,0.0,186.0,0,2,6,0,0,0,0,0
53,2,1.0,160.0,0,2,6,0,0,0,0,0
65,2,0.0,188.71,0,2,5,0,0,1,0,0
47,2,0.0,181.94,0,6,12,0,0,0,0,0
4,2,0.0,185.0,0,1,0,0,0,0,0,0
12,2,0.0,184.45,0,1,0,0,0,0,0,0
12,2,0.0,184.45,0,1,0,0,0,0,0,0
12,2,0.0,184.45,0,1,0,0,0,0,0,0
11,2,0.0,185.0,0,1,0,0,0,0,0,0
143,2,0.0,108.54,1,2,0,0,0,0,0,0
99,2,0.0,154.0,1,2,1,0,0,0,0,0
22,2,0.0,248.0,1,2,2,0,0,0,0,0
15,2,0.0,150.53,2,2,2,0,0,0,0,0
15,2,0.0,150.53,2,2,2,0,0,0,0,0
66,2,0.0,154.0,1,2,5,0,0,0,0,0
55,2,1.0,223.99,3,2,5,0,0,1,0,0
66,2,0.0,154.0,1,2,5,0,0,0,0,0
79,2,0.0,154.0,0,2,5,0,0,0,0,0
66,2,0.0,154.0,0,3,5,0,0,0,0,0
151,2,0.0,96.3,0,4,6,0,0,0,0,0
54,2,2.0,175.79,0,4,10,0,0,0,0,0
122,2,0.0,134.0,1,4,10,0,0,0,0,0
132,2,0.0,134.0,2,1,4,0,0,0,0,0
98,2,0.0,149.4,0,1,3,0,0,1,0,0
126,3,0.0,165.11,0,1,4,0,0,0,0,0
97,3,0.0,209.4,0,1,4,0,0,0,0,0
110,2,0.0,134.0,1,2,5,0,0,0,0,0
157,2,1.0,187.0,2,2,5,0,0,0,0,0
108,2,0.0,133.0,0,2,5,0,0,0,0,0
79,1,0.0,120.0,0,2,5,0,0,0,0,0
116,2,0.0,133.0,1,2,5,0,0,0,0,0
116,2,0.0,133.0,1,2,5,0,0,0,0,0
93,2,0.0,134.0,2,3,5,0,0,0,0,0
87,2,0.0,87.9,0,3,7,0,0,0,0,0
13,2,0.0,202.0,1,0,3,0,0,0,0,0
56,2,0.0,213.0,1,0,3,0,0,0,0,0
1,2,0.0,172.55,0,0,1,0,0,0,0,0
56,2,0.0,213.0,1,0,3,0,0,0,0,0
81,2,0.0,179.0,0,0,5,0,0,0,0,0
24,2,0.0,236.0,2,0,5,0,0,0,0,0
147,2,0.0,120.6,1,0,5,0,0,0,0,0
33,2,1.0,186.25,0,0,4,0,0,0,0,0
23,1,0.0,241.0,0,2,5,0,0,0,0,0
23,2,0.0,241.0,1,2,5,0,0,0,0,0
29,2,0.0,211.0,2,0,4,0,0,0,0,0
98,2,0.0,134.0,2,1,4,0,0,0,0,0
23,2,0.0,241.0,1,2,5,0,0,0,0,0
82,2,0.0,198.0,0,2,7,0,0,0,0,0
100,2,0.0,158.5,0,0,2,0,0,0,0,0
56,3,0.0,222.07,0,2,4,0,0,0,0,0
94,2,0.0,229.0,0,2,5,0,0,0,0,0
58,2,0.0,133.0,0,2,5,0,0,0,0,0
18,2,0.0,213.5,2,0,2,0,0,0,0,0
95,1,0.0,125.0,1,1,2,0,0,0,0,0
36,2,0.0,178.33,1,1,2,0,0,0,0,0
22,2,0.0,191.0,3,2,4,0,0,0,0,0
63,2,0.0,123.04,0,2,5,0,0,0,0,0
71,2,0.0,118.7,0,2,7,0,0,0,0,0
21,2,0.0,172.0,0,0,1,0,0,0,0,0
87,2,0.0,164.0,0,0,1,0,0,0,0,0
156,2,0.0,172.0,2,2,5,0,0,0,0,0
72,2,0.0,134.0,0,2,5,0,0,0,0,0
68,2,0.0,133.0,0,2,5,0,0,0,0,0
42,2,0.0,177.57,0,2,5,0,0,0,0,0
112,2,0.0,178.0,2,2,5,0,0,0,0,0
80,2,0.0,151.89,2,3,6,0,0,0,0,0
72,2,0.0,148.3,0,4,6,0,0,0,0,0
99,2,0.0,166.0,2,2,2,0,0,0,0,0
44,2,0.0,151.95,1,2,4,0,0,0,0,0
23,2,0.0,211.0,2,2,2,0,0,0,0,0
79,3,1.0,259.0,0,2,3,0,0,0,0,0
41,2,0.0,164.4,0,2,3,0,0,0,0,0
58,2,0.0,134.0,0,2,3,0,0,0,0,0
83,2,2.0,229.0,0,2,3,0,0,0,0,0
64,2,0.0,194.0,0,2,4,0,0,0,0,0
116,2,0.0,149.4,1,2,4,0,0,0,0,0
33,2,0.0,174.71,2,2,5,0,0,0,0,0
127,2,0.0,206.0,4,2,5,0,0,0,0,0
78,2,0.0,134.0,1,2,5,0,0,0,0,0
29,2,0.0,201.5,1,2,4,0,0,0,0,0
78,2,0.0,134.0,1,2,5,0,0,0,0,0
31,1,0.0,138.79,0,4,6,0,0,0,0,0
9,1,1.0,122.0,2,4,6,0,0,0,0,0
35,2,0.0,192.0,1,1,1,0,0,0,0,0
25,2,0.0,171.9,1,1,1,0,0,0,0,0
35,2,0.0,172.0,2,1,2,0,0,0,0,0
26,2,0.0,191.0,2,1,2,0,0,0,0,0
55,2,0.0,148.25,2,1,3,0,0,0,0,0
102,3,0.0,231.6,1,1,4,0,0,0,0,0
33,2,0.0,209.6,1,1,4,0,0,0,0,0
61,1,0.0,150.83,1,1,5,0,0,1,0,0
89,1,0.0,129.27,1,3,6,0,0,0,0,0
89,2,0.0,129.27,1,3,6,0,0,0,0,0
70,2,1.0,197.7,1,2,5,0,0,1,0,0
54,3,0.0,196.0,1,2,5,0,0,2,0,0
